Wages-Development Wages-Empty-Empty-Mechanical Engineer,75000
Wages-Development Wages-Empty-Empty-Electrical Engineer,75000
Wages-Development Wages-Empty-Empty-Embedded Engineer,75000
Wages-Development Wages-Empty-Empty-Industrial Designer,75000
Wages-Leadership-Empty-Empty-CEO,56250
Prototyping Costs-Empty-Empty-Empty-Mechanical,20000
Prototyping Costs-Empty-Empty-Empty-Electrical,20000
COGS-BOM-Molded-Empty-Left Ear Cup Base,900
COGS-BOM-Molded-Empty-Right Ear Cup Base,900
COGS-BOM-Molded-Empty-Band Substrate,3400
COGS-BOM-Molded-Empty-Band Rubber,2700
COGS-BOM-Molded-Empty-Band Underside,1100
COGS-BOM-Molded-Empty-Battery Door,1100
COGS-BOM-Stamped-Empty-Band Spring,4150
COGS-BOM-Stamped-Empty-Ear Cup Covers,10100
COGS-BOM-Purchased-Empty-Speaker Drivers,11000
COGS-BOM-Purchased-Empty-Accessory Cable,2500
COGS-BOM-Purchased-Empty-LiPo Battery,12200
COGS-BOM-Purchased-Empty-Headphone Bag,4250
COGS-BOM-Purchased-Empty-Screw,800
COGS-BOM-Purchased-Empty-Glue,4500
COGS-BOM-Electronics-Empty-Main PCB,47450
COGS-BOM-Electronics-Empty-Daughter PCB,21100
COGS-BOM-Packaging-Empty-Master Carton,500
COGS-BOM-Packaging-Empty-Gift Box,17900
COGS-BOM-Packaging-Empty-Gift Box Top Insert,7250
COGS-BOM-Packaging-Empty-Gift Box Bottom Insert,7000
COGS-Assembly-Empty-Empty-Labor,4150
COGS-Assembly-Empty-Empty-CM Profit Margin,8050
COGS-Empty-Empty-Empty-Scrap,8050
COGS-Empty-Empty-Empty-Duties,8050
COGS-Empty-Empty-Empty-Freight,20000
COGS-Empty-Empty-Empty-3PL,11250
COGS-Empty-Empty-Empty-Returns,16000
Fixed Costs-Empty-Empty-Empty-CM NRE,25000
Fixed Costs-Empty-Empty-Empty-EVT & DVT Builds,16100
Fixed Costs-Tooling-Empty-Empty-Injection Molding Tools,30000
Fixed Costs-Tooling-Empty-Empty-Stamping Tools,5000
Fixed Costs-Certifications-Empty-Empty-FCC Bluetooth Certification,5000
Fixed Costs-Certifications-Empty-Empty-UL Certification,15000
Selling Costs-Empty-Empty-Empty-Processing Fee,24750
Selling Costs-Empty-Empty-Empty-Order Fullfillment,11800


Mechanical Engineer, Mechanical Engineers are responsible for every physical element that is not the circuit board. They will spend a lot of time thinking about how the parts will be fabricated & assembled, as well as how well the finished good will stand up to They generally work closely with Industrial Designers and Electrical Engineers.
Electrical Engineer, Electrical Engineers are responsible for the design and layout of the circuit boards. They also play a key role in antenna design. They will spend a lot of time thinking about power architecture, component selection, and component placement. 
Embedded Engineer, Embedded Engineers are responsible for the software that runs on the PCB. This includes driving logic for audio, bluetooth, power management, etc.
Industrial Designer, Industrial designers make sure the device looks and behaves like something people will want to buy.
Development Wages, This is what you will need to pay barebones team: 1 ME, 1 EE, 1 ES, & 1 ID.
